ID,Severity,Category,File,Line,Title,Root Cause,Impact,Fix,Effort (hours),Priority Rank
CRIT-001,Critical,Architecture,arrival uk/ContentView.swift,1-3671,Monolithic ContentView.swift blocks maintainability,"All UI logic consolidated into single 3,671-line file with 38 @State variables",Cannot scale team; merge conflicts guaranteed; cannot test components in isolation; entire view recompiles on state change,"Extract into logical components: HomeScreenView (~400 LOC), CategoryDetailOverlay (~600 LOC), TaskDetailSheet (~800 LOC), ProfileSetupSheet (~500 LOC), HelpPrivacySheets (~200 LOC), Components/ directory for reusables, Keep ContentView as 200-line coordinator",24-32,1
CRIT-002,Critical,Security,backend/functions/src/email.ts,"60-79, 71-79, 174, 188, 200-202, 254",Email template XSS vulnerability,"User-controlled variables (displayName, subject, message, recipientName) interpolated directly into HTML without entity encoding","Phishing attack vector; malicious HTML can exploit email clients; brand damage; GDPR violation if data exfiltrated","Create escapeHtml() utility function to replace [&<>""'] with HTML entities; Apply to all user-controlled variables in 5 template functions: welcomeHTML, supportCreatedHTML, support_followup, maintenance_notice, broadcast_update",2-3,2
CRIT-003,Critical,Security,backend/functions/src/email.ts backend/functions/src/sms.ts,"113-119 (email), 46-52 (sms)",Privilege escalation via unverified token claims,Admin/owner privilege checks rely on client-provided JWT token claims without server-side Firestore verification,"Mass email spam; SMS abuse to arbitrary numbers; cost explosion (Twilio/SendGrid); account takeover if combined with other vulnerabilities","Replace client token checks with server-side Firestore verification against admins collection OR use Firebase Auth custom claims (set server-side); Make isPrivilegedCaller async and await in all callers (email.ts:314, sms.ts:97)",4-6,3
CRIT-004,Critical,Security,backend/functions/src/email.ts backend/functions/src/sms.ts,"121-157 (email), 54-90 (sms)",Rate limit race condition,Firestore transaction check-and-increment is not atomic; concurrent requests can all pass check before counter increments,"Rate limit bypass via parallel requests; DoS via cost (Twilio/SendGrid bills spike); spam abuse from legitimate domain","Use Firestore conditional updates with retry logic (retry up to 3 times on contention); Check BEFORE incrementing in transaction; Better alternative: Use Redis with atomic INCR operation",3-4,4
CRIT-005,Critical,Testing,No test files exist,N/A,Zero test coverage,No unit tests integration tests or E2E tests implemented; no test infrastructure configured,"Regression risk on any change; cannot safely refactor; manual testing only; no deployment confidence; developers afraid to make changes","Phase 1: ContentData persistence tests (8h), Backend security tests (8h), Auth flow tests (6h); Phase 2: XCUITest critical flows (12h); Phase 3: Backend integration tests (10h)",40-50,5
CRIT-006,Critical,Infrastructure,No .github/workflows/ or CI config,N/A,No CI/CD pipeline,All builds and deployments manual; no automated quality gates,"Human error in deploys; can deploy broken code; slow releases; no rollback plan; team bottleneck (only one person knows process)","Phase 1: Create .github/workflows/ios-ci.yml with build+test (8h); Phase 2: Create backend-ci.yml with npm test+firestore rules validation (6h); Phase 3: CD for staging auto-deploy to TestFlight (8h)",20-24,6
HIGH-001,High,Security,backend/functions/src/auth.ts,10-14,Weak referral code generation,Referral codes use Math.random() which is predictable; only ~46k possible suffixes,"Referral fraud via predicted codes; low entropy; collision risk (50% at ~200 users)","Replace Math.random() with crypto.randomBytes(2).toString('hex').toUpperCase() for 65k possibilities",1,7
HIGH-002,High,Security/Compliance,backend/functions/src/auth.ts,107-110,PII (email) logged in analytics,User emails stored in analytics events without explicit consent,"GDPR violation (Article 6); data breach risk if analytics DB compromised; cannot easily delete user email (right to erasure)","Store email domain only instead of full email: emailDomain: user.email?.split('@')[1] ?? null; Audit other PII logging",2,8
HIGH-003,High,Security,arrival uk/Networking/SecureHTTPClient.swift,1-66,No certificate pinning,HTTPS enforced but no certificate pinning; vulnerable to MITM with valid CA certificate,"Corporate proxy MITM; compromised CA attack; user data exposure (profile, progress, auth tokens)","Implement URLSessionDelegate with public key pinning; Store Firebase API public key hashes; Validate in didReceive challenge callback",8-12,9
HIGH-004,High,Security,arrival uk/Security/KeychainManager.swift,1-103,Keychain tokens lack TTL management,Tokens stored in Keychain never expire; no timestamp stored with token,"Stolen token persistence forever; cannot force re-auth; compliance risk (some regulations require periodic re-auth)","Create KeychainToken struct with expiresAt Date; Modify saveToken to accept expiresIn seconds; Auto-delete expired tokens in loadToken",4-6,10
HIGH-005,High,Performance,arrival uk/ContentData.swift,19-34,Bundle loading blocks main thread,JSON decoding on background thread but UI update on main thread is immediate,"First launch jank (100-200ms freeze); ANR risk on old devices; poor first impression (white screen)","Batch UI updates with animation using withAnimation(.easeInOut); Better: implement incremental category loading (5 at a time)",3-4,11
HIGH-006,High,Performance,arrival uk/Features/Notifications/NotificationManager.swift,41-87,Notification scheduling unbounded,Schedules notifications for ALL incomplete tasks sequentially (50+ tasks = 5-10 seconds),"Slow refresh; UI freeze during permission flow; battery drain","Limit to 20 most urgent tasks sorted by urgency+timing; Batch requests (no await in loop); Use TaskGroup for concurrent adds",4-5,12
HIGH-007,High,Security,backend/firestore.rules,79-87,Public read on referrals collection,Referral codes are publicly readable (allow read: if true),"Referral harvesting by bots; fraud via scraped codes; privacy leak (code contains user ID prefix)","Change to: allow read: if isSignedIn(); Require authentication to read referral codes",1,13
HIGH-008,High,Infrastructure,backend/functions/src/email.ts,"30-43, 45-48, 50-53, 55-58",Missing environment variable validation,Environment variables fall back to defaults silently,"Production misconfiguration (deploy without SENDGRID_API_KEY → silent failure); debugging hell; wrong environment emails","Add validateEnvironment() function in index.ts; Check all required env vars on module load; Throw error in production if missing; Log warnings in dev",2-3,14
HIGH-009,High,Reliability,backend/functions/src/auth.ts,120-124,Batch delete partial failure handling,User deletion batches subcollection deletes with Promise.all - if one fails entire operation fails,"Incomplete deletion (profile deleted but subcollections remain); GDPR violation (right to erasure not honored); user confusion","Use batch.delete() with 500-doc batches; Wrap each subcollection in try/catch; Log errors but continue; Trigger retry on failure",3-4,15
HIGH-010,High,Architecture,arrival uk/ContentData.swift,1-1249,ContentData.swift too large (1249 LOC),Single file handles bundle loading progress persistence merge logic validation normalization fallback,"Hard to test; merge conflicts; code review overhead (1249 lines to read)","Extract into modules: BundleLoader.swift, ProgressManager.swift, ContentValidator.swift, ContentMerger.swift; Keep ContentStore as 200-line coordinator",12-16,16
HIGH-011,High,Architecture,arrival uk/Models.swift,1-1372,Models.swift too large (1372 LOC),All data models enums sample data in single file,"Slow compilation; namespace pollution (50+ types); hard to navigate","Split by domain: Task.swift (ChecklistTask enums), Category.swift, ContentSection.swift, Stats.swift, SampleData.swift",8-10,17
HIGH-012,High,Architecture,arrival uk/ContentView.swift,17-34,38 @State variables in ContentView,All state managed at top level,"Performance (every state change triggers full view re-evaluation); unnecessary rerenders; hard to debug","Extract state to child view models: NavigationState (modal/overlay), ProfileState (profile sheet); Reduce to ~10 @State in ContentView",6-8,18
HIGH-013,High,Security,arrival uk/StudentProfile.swift arrival uk/ContentData.swift,"63 (profile), 74 (data)",UserDefaults unencrypted,Progress and profile data stored in plaintext UserDefaults,"Device compromise exposes all local preferences; violates principle of least privilege","For sensitive data: encrypt using CryptoKit before storing OR migrate to Keychain; For non-sensitive: acceptable with device passcode",4-6,19
HIGH-014,High,Accessibility,arrival uk/ContentView.swift,400-500,No accessibility labels on interactive elements,Missing .accessibilityLabel() on many buttons and interactive views,"VoiceOver users cannot navigate app; violates WCAG 2.1 AA; App Store may flag during accessibility review","Add .accessibilityLabel() to all Buttons; Add .accessibilityHint() where actions are non-obvious; Test with VoiceOver enabled",6-8,20
HIGH-015,High,Code Quality,arrival uk/ContentView.swift,200-300,Hardcoded color values bypass DesignSystem,Direct Color() calls instead of using DesignSystem.Colors,"Inconsistent theming; dark mode issues; cannot update brand colors easily","Replace all hardcoded colors with DesignSystem.Colors; Add missing colors to DesignSystem if needed",4-6,21
HIGH-016,High,Infrastructure,backend/firebase.json,1-50,Firebase config validation missing,No validation of firebase.json structure; easy to misconfigure functions/hosting,"Deploy with broken config; functions fail to deploy; hosting routes break","Add JSON schema validation; Create pre-deploy hook to validate config; Document required fields",3-4,22
HIGH-017,High,Observability,arrival uk/Core/CrashReporter.swift,1-20,No error telemetry,CrashReporter.swift is placeholder only; no actual crash reporting,"Cannot diagnose production crashes; no visibility into user-facing errors; slow bug fixes","Integrate Crashlytics or Sentry; Wire into SwiftUI error boundaries; Add structured error logging",8-12,23
MED-001,Medium,Code Quality,Multiple files,N/A,Inconsistent error handling,Mix of try/catch optional try! force-try across codebase,"Silent failures; poor error messages to users; hard to debug","Standardize on Result type for recoverable errors; Use custom AppError enum; Add error telemetry",8-12,24
MED-002,Medium,Architecture,arrival uk/ContentView.swift arrival uk/ContentData.swift,Multiple,Missing dependency injection,Singletons (.shared) and static methods throughout,"Hard to test; tight coupling; cannot swap implementations","Introduce @Environment for dependency injection; Create injectable protocols; Pass dependencies via init",16-20,25
MED-003,Medium,Code Quality,arrival uk/ContentView.swift,"250, 340, 560",Unsafe force unwraps,Multiple force unwraps (!) without nil checks,"Potential crashes if assumption violated","Replace ! with guard let or if let; Add precondition() with descriptive message where force unwrap is safe",4-6,26
MED-004,Medium,Performance,arrival uk/ContentView.swift,48-65,Date formatting performance,timelinePrimaryMetric computed property recalculates on every render,"Unnecessary CPU cycles; battery drain on complex calendar calculations","Cache calculation result; Invalidate only when profileStore.arrivalDate changes using @Published",2-3,27
MED-005,Medium,Code Quality,arrival uk/DesignSystem.swift,1-200,Animation complexity too high,Complex spring animations with many parameters,"Hard to maintain; performance overhead; inconsistent motion","Simplify to 3-4 standard animations; Use .spring(response:dampingFraction:) for consistency",3-4,28
MED-006,Medium,Security,backend/firestore.rules,51-56,Analytics write rate limits missing,No rate limits on analytics event creation,"User can spam analytics DB; quota exhaustion; cost spike","Add: allow create: if request.rate(minutes: 1).totalWriteOps() < 100",1-2,29
MED-007,Medium,Performance,arrival uk/AdSystem.swift,300-330,Ad policy evaluation creates objects per event,evaluate() creates new Date objects on every user interaction,"Cumulative performance impact with many events; memory churn","Cache now.timeIntervalSince(sessionStartedAt); Use static comparison operators; Add debouncing",2-3,30
MED-008,Medium,Reliability,arrival uk/ContentView.swift,26-30,Task cleanup on sign out missing,Multiple Tasks created but not cancelled on view dismissal,"Memory leak if user logs out and back in; multiple task sets running","Add .onDisappear { persistProgressTask?.cancel(); bootstrapWatchdogTask?.cancel(); minuteTickerTask?.cancel() }",2,31
MED-009,Medium,Performance,backend/functions/src/auth.ts,21-28,Analytics unbounded collection growth,Every user interaction creates new Firestore doc in analytics/events/items/,"Unlimited collection growth; Firestore quota consumed; slow queries","Implement Firestore TTL policy; Create monthly collections instead of single; Archive old events to Cloud Storage",4-6,32
MED-010,Medium,Performance,backend/firestore.rules,13-16,Admin check lacks caching,isAdmin() checks Firestore on every request (extra read operation),"Performance overhead; cost from extra reads","Cache admin status in Firebase Auth custom claims instead of Firestore lookup",3-4,33
MED-011,Medium,Code Quality,arrival uk/Auth/AuthenticationManager.swift,24-40,Firestore listener never removed,Listener added in init deinit never called (singleton never deallocates),"Listener stays active forever (actually acceptable for singleton); confusing code structure","Add comment explaining deinit is defensive; OR implement manual cleanup method",1,34
MED-012,Medium,Code Quality,arrival uk/ContentView.swift,100-200,Category filtering logic duplicated,visibleCategoryIndices logic duplicated in multiple places,"Code duplication; inconsistent filtering; maintenance burden","Extract to computed property in ContentStore; Reuse across views",3-4,35
MED-013,Medium,Infrastructure,backend/functions/package.json,1-50,No package-lock.json in git,package-lock.json likely in .gitignore,"Inconsistent dependency versions across environments; hard to reproduce bugs","Remove package-lock.json from .gitignore; Commit to git; Update deployment docs",1,36
MED-014,Medium,Code Quality,arrival uk/Data/content.json arrival uk/Data/categories.json,Multiple,No JSON schema validation,JSON files loaded without schema validation beyond type decoding,"Malformed data can pass validation; runtime crashes possible","Create JSON Schema files; Add schema validation to Scripts/validate_content.swift",4-6,37
MED-015,Medium,Security,backend/storage.rules,1-50,Storage rules too permissive,Default storage rules may allow excessive access,"Unauthorized file access; data leak risk","Audit storage.rules; Restrict to authenticated users only; Add file size limits",2-3,38
MED-016,Medium,Performance,arrival uk/ContentView.swift,600-800,Excessive .onChange() modifiers,Multiple .onChange() listeners on same state,"Performance overhead; order-dependent side effects; hard to debug","Consolidate onChange logic; Use @Observable reactions where possible",3-4,39
MED-017,Medium,Code Quality,arrival uk/StudentProfile.swift,1-150,Profile save logic complex,saveProfile() has many conditional branches,"Hard to test; error-prone; maintenance burden","Extract validation to separate functions; Simplify conditional logic",4-5,40
MED-018,Medium,Infrastructure,Scripts/strict_smoke.sh,1-100,Build script lacks error codes,Script exits 0 even on some failures,"CI may pass despite failures; false confidence","Add proper error handling; Exit with non-zero on any failure; Add verbose logging",2-3,41
MED-019,Medium,Code Quality,arrival uk/Features/Search/TaskSearchSheet.swift,1-200,Search performance not optimized,Linear search through all tasks on every keystroke,"Slow search with many tasks (100+); UI lag","Debounce search input (300ms); Use indexed search; Limit results to 20",3-4,42
MED-020,Medium,Security,backend/functions/src/notifications.ts,125-171,Notification scheduling window too broad,Schedules notifications far in advance without revalidation,"User completes task but still gets reminder; poor UX","Add revalidation logic before sending; Check completion status in sendQueuedNotifications",3-4,43
MED-021,Medium,Code Quality,arrival uk/arrival_ukApp.swift,1-50,App lifecycle hooks minimal,No didFinishLaunching equivalent; limited setup logic,"Cannot run migrations; limited initialization control","Add @UIApplicationDelegateAdaptor; Implement application(_:didFinishLaunchingWithOptions:)",2-3,44
MED-022,Medium,Performance,arrival uk/ContentView.swift,1000-1200,Sheet presentation performance,Heavy sheet content causes jank on presentation,"Poor animation performance; user-visible lag","Lazy-load sheet content; Preload heavy assets; Reduce initial render complexity",4-6,45
LOW-001,Low,Code Quality,Multiple files,N/A,Inconsistent naming conventions,Mix of camelCase and snake_case; inconsistent acronym casing,"Reduced code readability; harder for new developers","Standardize on Swift naming conventions; Create style guide; Run SwiftLint",6-8,46
LOW-002,Low,Documentation,Multiple files,N/A,Missing code comments,Complex algorithms lack documentation; no function docstrings,"Hard to understand code intent; slows onboarding","Add /// docstrings to public APIs; Comment complex logic; Update DEVELOPER_HANDOFF.md",4-6,47
LOW-003,Low,Code Quality,arrival uk/DesignSystem.swift,50-100,Magic numbers in spacing,Hardcoded numbers without named constants,"Unclear intent; inconsistent spacing across app","Replace with named constants: DesignSystem.Spacing.small/medium/large",2-3,48
LOW-004,Low,Infrastructure,Scripts/line_counts.sh,1-50,Line count script inefficient,Uses multiple commands instead of single efficient approach,"Slow execution; unnecessary complexity","Simplify to single git ls-files | xargs wc -l command",1,49
LOW-005,Low,Code Quality,arrival uk/AdSystem.swift,1-400,AdCoordinator state machine implicit,State transitions not clearly defined,"Hard to understand ad lifecycle; potential state bugs","Make state machine explicit; Document transitions; Add state validation",4-5,50
LOW-006,Low,Documentation,backend/README.md,1-100,Deployment instructions outdated,README doesn't match current firebase.json structure,"Confusing for new developers; deployment errors","Update README with current deployment steps; Add troubleshooting section",2-3,51
LOW-007,Low,Code Quality,arrival uk/Models.swift,500-600,ContentSection enum too large,Single enum with 11 cases and custom decoding logic,"Hard to understand; lots of boilerplate","Consider protocol-based approach or separate types",6-8,52
LOW-008,Low,Performance,arrival uk/Assets.xcassets,N/A,Image assets not optimized,PNG images at high resolution without compression,"Larger app bundle size; slower downloads","Optimize images with ImageOptim; Use appropriate @2x/@3x sizes",3-4,53
